Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
805,B,20:00,LOKOMOTIV KUBAN,ULM,1.70,,1.70,1.70,1.70
806,B,20:00,MZT SKOPJE,CEDEVITA,1.70,,1.70,1.70,1.70
807,B,20:00,ZENIT ST PETERSBURG,MURCIA,1.70,,1.70,1.70,1.70
808,B,20:00,GALATASARAY (B),TTT RIGA (B),1.70,,1.70,,
809,B,20:00,KIZIL YILDIZ,BARCELONA,1.70,,1.70,1.70,1.70
810,B,20:00,MKS POLKOWICE (B),SOPRON (B),1.70,,1.70,1.70,1.70
853,B,20:00,KIZIL YILDIZ,BARCELONA,2.45,12.00,1.40,,
863,B,20:00,BARCELONA (809),(812) FENERBAHÇE,1.70,,1.70,1.70,1.70
508,F,20:30,AARAU,LUGANO,2.60,2.90,2.10,,
811,B,20:30,WISLA KRAKOW (B),DYNAMO KURSK (B),1.70,,1.70,1.70,1.70
812,B,20:45,FENERBAHÇE,ZALGIRIS,1.70,,1.70,1.70,1.70
509,F,21:00,AZ ALKMAAR,EMMEN,1.05,6.25,12.50,,
510,F,21:00,UTRECHT,GRONINGEN,1.50,3.60,4.00,,
511,F,21:00,VITESSE,WAALWIJK,1.05,6.25,12.50,,
512,F,21:00,ROSENBORG,BODO GLIMT,1.10,6.25,8.00,2.30,1.30
513,F,21:00,BURSASPOR,YOMRASPOR,,,,,
813,B,21:00,ARIS,BAKKEN BEARS,1.70,,1.70,1.70,1.70
814,B,21:00,FRANKFURT,BANVİT,1.70,,1.70,1.70,1.70
815,B,21:00,ALBA BERLİN,KHIMKI,1.70,,1.70,1.70,1.70
816,B,21:00,OLYMPIJA LJUBLIANA,HAPOEL JERUSALEM,1.70,,1.70,1.70,1.70
817,B,21:00,BAMBERG,PANATHINAIKOS,1.70,,1.70,1.70,1.70
818,B,21:00,ESB LILLE METROPOLE (B),BOURGES (B),1.70,,1.70,1.70,1.70
854,B,21:00,BAMBERG,PANATHINAIKOS,1.75,12.00,1.85,,
864,B,21:00,BANVİT (814),(819) GALATASARAY,1.70,,1.70,1.70,1.70
865,B,21:00,ALBA BERLİN (815),(817) BAMBERG,1.70,,1.70,1.70,1.70
819,B,21:05,MACCABI TEL AVIV,GALATASARAY,1.70,,1.70,1.70,1.70
855,B,21:05,MACCABI TEL AVIV,GALATASARAY,1.20,14.00,3.30,,
514,F,21:15,BLAU WEISS LINZ,RAPID WIEN,8.00,4.30,1.20,,
515,F,21:15,WINTERTHUR,CHIASSO,1.80,3.20,3.00,,
516,F,21:30,ANDERLECHT,MECHELEN,1.25,4.00,7.00,2.15,1.35
517,F,21:30,CHARLEROI,GENK,2.10,2.90,2.60,1.70,1.65
518,F,21:30,CLUB BRUGGE,WESTERLO,1.10,5.50,10.00,2.70,1.20
519,F,21:30,KORTRIJK,EUPEN,1.50,3.30,4.30,2.05,1.40
520,F,21:30,SINT TRUIDEN,ZULTE WAREGEM,2.20,3.00,2.40,1.75,1.60
521,F,21:30,YOUNG BOYS,GRASSHOPPERS,1.40,3.50,5.00,2.15,1.35
522,F,21:30,ANDERLECHT (516),(534) JUVENTUS,2.20,4.25,1.95,,
523,F,21:30,CLUB BRUGGE (518),(536) NAPOLI,1.90,4.25,2.25,,
820,B,21:30,AS MONACO,HELIOS SUNS,1.70,,1.70,1.70,1.70
821,B,21:30,AVELLINO,STRASBOURG,1.70,,1.70,1.70,1.70
822,B,21:30,OOSTENDE,JUVENTUS UTENA,1.70,,1.70,1.70,1.70
823,B,21:30,BILBAO,LIETUVOS RYTAS,1.70,,1.70,1.70,1.70
824,B,21:30,AVENIDA (B),EKATERINBURG (B),1.70,,1.70,1.70,1.70
866,B,21:30,BILBAO (823),(825) MALAGA,1.70,,1.70,1.70,1.70
524,F,21:45,SOUTHAMPTON,SUNDERLAND,1.30,3.75,6.25,1.70,1.65
525,F,21:45,WEST HAM,CHELSEA,3.60,3.30,1.60,1.85,1.50
526,F,21:45,B.MÜNİH,AUGSBURG (h),1.65,4.00,2.90,,
